gpu_index,batch_size,power_limit,test_accuracy,train_time
0,128,500,80.46,30.53
0,64,500,79.21,31.22
0,32,400,81.25,39.32
0,64,500,78.84,31.29
0,32,400,75.81,39.53
0,128,500,78.77,30.15
0,128,400,81.65,32.6
0,32,300,76.03,43.07
0,64,200,81.98,79.11
0,128,300,82.16,40.63
0,64,400,78.8,34.14
0,64,400,76.36,34.21
0,32,300,72.38,42.88
0,32,300,75.91,42.88
0,128,700,82.34,28.29
0,128,400,81.71,32.54
0,32,400,78.06,39.48
0,128,600,76.97,28.6
0,128,500,81.48,30.12
0,64,500,82.55,31.4
0,128,400,82.17,32.56
0,64,600,76.59,30.44
0,64,200,74.53,77.9
0,64,600,78.23,30.32
0,128,500,83.34,30.07
0,128,700,79.64,28.28
0,32,700,78.57,37.89
0,128,600,81.39,28.62
0,128,500,80.9,30.19
0,64,500,83.43,31.34
0,128,700,81.02,28.3
0,128,700,79.14,28.31
0,128,400,80.45,32.63
0,128,500,82.35,30.22
0,64,700,75.63,30.36
0,128,700,83.93,28.32
0,64,700,81.69,30.34
0,128,700,76.77,28.31
0,128,300,81.1,40.66
0,128,700,84.33,28.25
0,128,500,80.22,30.14
0,128,500,82.58,30.13
0,128,200,81.48,74.54
0,64,600,77.62,30.32
0,128,700,82.96,28.3
0,128,400,83.45,32.56
0,128,700,83.91,28.28
0,128,500,82.86,30.16
0,64,700,78.73,30.39
0,64,500,80.16,31.38
0,128,500,80.69,30.21
0,64,500,81.75,31.45
