gpu_index,batch_size,power_limit,mem_clock,precision,test_accuracy,train_time
0,128,700,200,fp16,86.75,21.59
0,128,300,300,fp16,88.08,25.16
0,64,500,100,fp16,84.17,24.61
0,32,700,300,fp16,83.8,37.9
0,64,300,0,fp32,87.14,38.18
0,32,300,400,fp32,82.79,42.11
0,128,400,0,fp16,88.46,22.57
0,128,300,300,fp32,88.38,39.63
0,128,400,100,fp16,86.21,22.56
0,32,700,0,fp16,84.31,38.12
0,32,300,300,fp32,85.36,41.86
0,64,400,100,fp16,85.86,24.76
0,128,300,400,fp32,88.82,39.43
0,32,500,100,fp16,84.58,37.93
0,128,400,300,fp16,87.27,22.63
0,64,700,0,fp32,87.16,30.3
0,64,700,300,fp16,87.77,24.65
0,64,700,200,fp32,85.92,30.22
0,64,500,0,fp16,85.32,24.43
0,32,300,300,fp16,85.47,37.54
0,128,300,100,fp16,87.84,25.22
0,128,700,300,fp16,89.65,21.05
0,64,500,0,fp16,84.03,24.52
0,64,700,300,fp16,86.86,24.36
0,128,400,0,fp32,87.65,31.99
0,128,300,300,fp32,87.18,39.59
0,64,700,0,fp16,85.65,24.89
0,128,300,300,fp32,88.96,39.4
0,64,700,100,fp16,83.92,24.55
0,128,400,300,fp16,88.19,22.62
0,128,300,300,fp16,88.27,25.24
0,64,700,300,fp16,85.22,24.56
0,128,700,300,fp16,86.77,21.07
0,128,300,300,fp16,88.92,25.26
0,64,700,100,fp16,87.6,24.71
0,128,700,300,fp16,90.21,20.99
0,128,400,0,fp16,87.92,22.64
0,128,700,200,fp16,85.39,21.08
0,128,700,300,fp16,85.58,21.09
0,128,300,300,fp32,89.05,39.64
0,128,300,0,fp16,86.19,25.22
0,128,300,300,fp16,86.7,25.16
0,128,200,400,fp32,88.23,69.83
0,128,700,300,fp16,89.18,21.04
0,128,700,300,fp16,89.64,21.04
0,128,300,300,fp16,89.3,25.26
0,128,700,100,fp16,89.41,21.07
0,128,700,300,fp16,88.46,21.06
0,128,700,300,fp16,87.18,21.07
0,128,400,100,fp16,89.96,22.63
0,128,700,300,fp16,87.11,21
0,32,700,300,fp16,85.32,39.06
0,128,300,300,fp16,86.48,25.16
0,128,700,300,fp16,89.74,21.05
0,128,700,300,fp16,89.78,21.02
0,128,700,300,fp16,89.93,21.06
0,32,400,300,fp32,84.35,38.86
0,32,600,0,fp16,85.38,37.84
0,64,600,300,fp16,87.2,24.7
0,32,300,200,fp16,86.47,38.32
0,128,600,300,fp16,88.75,21.06
0,32,400,100,fp32,83.85,38.98
0,64,500,0,fp16,87.95,24.51
0,64,700,200,fp16,86.01,24.79
0,32,700,0,fp16,84.93,37.92
0,32,600,0,fp32,83.85,37.9
0,32,400,0,fp32,85.39,38.95
0,32,700,0,fp16,83.87,37.97
0,64,600,0,fp16,83.78,24.78
0,32,600,200,fp16,84.86,38.71
0,32,500,300,fp32,87.25,37.8
0,32,500,0,fp16,85.11,38.11
0,32,400,300,fp32,84.31,39.2
0,32,600,0,fp16,84.41,38.02
0,32,700,100,fp32,84.89,37.95
0,32,400,300,fp16,86.2,38
0,64,400,200,fp16,83.93,24.88
0,64,500,300,fp32,87.3,31.04
0,32,500,300,fp16,84.75,38.86
0,32,400,0,fp32,84.62,39.03
0,128,600,300,fp16,89.18,21.05
0,32,600,0,fp32,83.93,38.49
0,64,600,0,fp32,87.52,30.29
0,32,500,0,fp16,85.68,38.28
0,32,500,300,fp32,84.61,38.35
0,64,600,0,fp32,86.91,30.3
0,32,500,300,fp32,84.46,38.07
0,64,700,300,fp16,87.84,24.65
0,32,700,200,fp16,84.66,37.67
0,64,500,300,fp16,87.73,24.91
0,64,700,200,fp32,87.29,30.29
0,64,400,300,fp32,87.91,33.68
0,64,500,0,fp16,86.89,24.75
0,128,600,0,fp16,86.35,21.09
0,64,500,300,fp16,85.97,24.89
0,64,500,0,fp16,85.68,24.5
0,64,600,0,fp16,86.02,24.74
0,64,200,0,fp32,84.51,70.06
0,64,500,0,fp32,88.6,31.03
0,128,600,0,fp16,89.53,21.08
0,64,500,0,fp16,86.67,24.66
0,64,600,300,fp16,87.62,25.06
0,64,500,300,fp16,86.05,24.79
0,64,700,0,fp16,85.82,24.77
0,128,600,0,fp16,87.89,21.12
0,64,600,0,fp32,86.01,30.24
0,64,600,0,fp16,85.91,24.61
0,128,500,300,fp16,87.67,21.36
0,64,500,0,fp16,86.04,24.52
0,64,400,300,fp32,86.41,33.76
0,128,600,0,fp16,87.36,21.14
0,64,500,0,fp32,85.89,31.06
0,32,700,300,fp16,85.34,38.2
