,,,,,
gpu_index,batch_size,power_limit,epoch_accuracy,test_accuracy,train_time
0,32,200,70.21,76.06,70.64
0,32,350,69.69,78.18,41.24
0,32,500,69.44,79.98,39.28
0,32,650,70.78,77.14,38.64
0,32,800,69.83,77.3,38.71
0,64,200,74.72,80.25,77.79
0,64,350,75.12,74.98,35.84
0,64,500,75.38,82.37,31.27
0,64,650,74.12,80.91,30.29
0,64,800,75.26,82.9,30.39
0,128,200,79.51,84.19,74
0,128,350,78.21,80.31,34.44
0,128,500,76.95,82.28,29.92
0,128,650,77.83,81.87,28.24
0,128,800,78.68,81.93,28.19
